,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
398,12,2,7,PhsH,TransH,Csl,ivs,caus
399,12,3,7,PhsH,TransH,Csl,base,caus
400,12,4,7,PhsH,TransH,Csl,base,caus
401,12,5,7,PhsH,TransH,Csl,ivs,base
402,12,6,7,PhsH,TransH,Csl,ivs,base
403,12,7,7,PhsH,TransH,Csl,base,base
404,12,8,7,PhsH,TransH,Csl,base,base
405,12,9,7,PhsL,TransL,Csl,ivs,caus
406,12,10,7,PhsL,TransL,Csl,ivs,caus
407,12,11,7,PhsL,TransL,Csl,base,caus
408,12,12,4,PhsL,TransL,Csl,base,caus
409,12,13,7,PhsL,TransL,Csl,ivs,base
410,12,14,7,PhsL,TransL,Csl,ivs,base
411,12,15,7,PhsL,TransL,Csl,base,base
412,12,16,7,PhsL,TransL,Csl,base,base
413,12,17,7,Aff,TransL,Csl,ivs,caus
414,12,18,7,Aff,TransL,Csl,ivs,caus
415,12,19,7,Aff,TransL,Csl,ivs,base
416,12,20,7,Aff,TransL,Csl,ivs,base
417,12,21,6,Loc,TransL,NCsl,ivs,caus
418,12,22,7,Loc,TransL,NCsl,ivs,caus
419,12,23,7,Loc,TransL,NCsl,base,caus
420,12,24,7,Loc,TransL,NCsl,base,caus
421,12,25,7,Loc,TransL,NCsl,ivs,base
422,12,26,7,Loc,TransL,NCsl,ivs,base
423,12,27,7,Loc,TransL,NCsl,base,base
424,12,28,7,Loc,TransL,NCsl,base,base
425,12,29,7,Poss,TransL,NCsl,ivs,caus
426,12,30,7,Poss,TransL,NCsl,ivs,caus
427,12,31,7,Poss,TransL,NCsl,base,caus
428,12,32,7,Poss,TransL,NCsl,base,caus
429,12,33,7,Poss,TransL,NCsl,ivs,base
430,12,34,7,Poss,TransL,NCsl,ivs,base
431,12,35,7,Poss,TransL,NCsl,base,base
432,12,36,7,Poss,TransL,NCsl,base,base
433,13,1,7,PhsH,TransH,Csl,ivs,caus
434,13,2,6,PhsH,TransH,Csl,ivs,caus
435,13,3,7,PhsH,TransH,Csl,base,caus
436,13,4,5,PhsH,TransH,Csl,base,caus
437,13,5,6,PhsH,TransH,Csl,ivs,base
438,13,6,5,PhsH,TransH,Csl,ivs,base
439,13,7,6,PhsH,TransH,Csl,base,base
440,13,8,5,PhsH,TransH,Csl,base,base
441,13,9,6,PhsL,TransL,Csl,ivs,caus
442,13,10,5,PhsL,TransL,Csl,ivs,caus
443,13,11,6,PhsL,TransL,Csl,base,caus
444,13,12,7,PhsL,TransL,Csl,base,caus
445,13,13,6,PhsL,TransL,Csl,ivs,base
446,13,14,6,PhsL,TransL,Csl,ivs,base
447,13,15,6,PhsL,TransL,Csl,base,base
448,13,16,6,PhsL,TransL,Csl,base,base
449,13,17,7,Aff,TransL,Csl,ivs,caus
450,13,18,6,Aff,TransL,Csl,ivs,caus
451,13,19,7,Aff,TransL,Csl,ivs,base
452,13,20,6,Aff,TransL,Csl,ivs,base
453,13,21,6,Loc,TransL,NCsl,ivs,caus
454,13,22,6,Loc,TransL,NCsl,ivs,caus
455,13,23,5,Loc,TransL,NCsl,base,caus
456,13,24,7,Loc,TransL,NCsl,base,caus
457,13,25,6,Loc,TransL,NCsl,ivs,base
458,13,26,6,Loc,TransL,NCsl,ivs,base
459,13,27,7,Loc,TransL,NCsl,base,base
460,13,28,7,Loc,TransL,NCsl,base,base
461,13,29,7,Poss,TransL,NCsl,ivs,caus
462,13,30,6,Poss,TransL,NCsl,ivs,caus
463,13,31,6,Poss,TransL,NCsl,base,caus
464,13,32,7,Poss,TransL,NCsl,base,caus
465,13,33,6,Poss,TransL,NCsl,ivs,base
466,13,34,6,Poss,TransL,NCsl,ivs,base
467,13,35,7,Poss,TransL,NCsl,base,base
468,13,36,7,Poss,TransL,NCsl,base,base
469,14,1,5,PhsH,TransH,Csl,ivs,caus
470,14,2,5,PhsH,TransH,Csl,ivs,caus
471,14,3,5,PhsH,TransH,Csl,base,caus
472,14,4,5,PhsH,TransH,Csl,base,caus
473,14,5,6,PhsH,TransH,Csl,ivs,base
474,14,6,6,PhsH,TransH,Csl,ivs,base
475,14,7,5,PhsH,TransH,Csl,base,base
476,14,8,6,PhsH,TransH,Csl,base,base
477,14,9,5,PhsL,TransL,Csl,ivs,caus
478,14,10,5,PhsL,TransL,Csl,ivs,caus
479,14,11,6,PhsL,TransL,Csl,base,caus
480,14,12,5,PhsL,TransL,Csl,base,caus
481,14,13,5,PhsL,TransL,Csl,ivs,base
482,14,14,6,PhsL,TransL,Csl,ivs,base
483,14,15,6,PhsL,TransL,Csl,base,base
484,14,16,6,PhsL,TransL,Csl,base,base
485,14,17,6,Aff,TransL,Csl,ivs,caus
486,14,18,5,Aff,TransL,Csl,ivs,caus
487,14,19,6,Aff,TransL,Csl,ivs,base
488,14,20,4,Aff,TransL,Csl,ivs,base
489,14,21,6,Loc,TransL,NCsl,ivs,caus
490,14,22,6,Loc,TransL,NCsl,ivs,caus
491,14,23,6,Loc,TransL,NCsl,base,caus
492,14,24,6,Loc,TransL,NCsl,base,caus
493,14,25,5,Loc,TransL,NCsl,ivs,base
494,14,26,6,Loc,TransL,NCsl,ivs,base
495,14,27,7,Loc,TransL,NCsl,base,base
496,14,28,6,Loc,TransL,NCsl,base,base
497,14,29,5,Poss,TransL,NCsl,ivs,caus
498,14,30,6,Poss,TransL,NCsl,ivs,caus
499,14,31,6,Poss,TransL,NCsl,base,caus
500,14,32,6,Poss,TransL,NCsl,base,caus
501,14,33,6,Poss,TransL,NCsl,ivs,base
502,14,34,6,Poss,TransL,NCsl,ivs,base
503,14,35,4,Poss,TransL,NCsl,base,base
504,14,36,6,Poss,TransL,NCsl,base,base
505,15,1,7,PhsH,TransH,Csl,ivs,caus
506,15,2,6,PhsH,TransH,Csl,ivs,caus
507,15,3,7,PhsH,TransH,Csl,base,caus
508,15,4,6,PhsH,TransH,Csl,base,caus
509,15,5,7,PhsH,TransH,Csl,ivs,base
510,15,6,6,PhsH,TransH,Csl,ivs,base
511,15,7,7,PhsH,TransH,Csl,base,base
512,15,8,7,PhsH,TransH,Csl,base,base
513,15,9,5,PhsL,TransL,Csl,ivs,caus
514,15,10,5,PhsL,TransL,Csl,ivs,caus
515,15,11,7,PhsL,TransL,Csl,base,caus
516,15,12,6,PhsL,TransL,Csl,base,caus
517,15,13,6,PhsL,TransL,Csl,ivs,base
518,15,14,7,PhsL,TransL,Csl,ivs,base
519,15,15,5,PhsL,TransL,Csl,base,base
